Order_ID,Order_Date,Ship_Date,Year,Month,Quarter,Customer_ID,Customer_Name,Segment,Country,State,City,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Delivery_Days,Profit_Margin,Payment_Mode,Ship_Mode
ORD00001,2023-05-23,2023-05-29,2023,May,Q2,CUST2680,Shweta,Consumer,India,Madhya Pradesh,Indore,Central,Furniture,Sofa,Sofa,3870.49,4,5,1094.38,6,28.27,Net Banking,Same Day
ORD00002,2024-09-08,2024-09-09,2024,September,Q3,CUST4258,Shweta,Corporate,India,Delhi,New Delhi,North,Furniture,Table,Table,7373.54,4,20,1176.3,1,15.95,UPI,Same Day
ORD00003,2023-10-12,2023-10-14,2023,October,Q4,CUST4528,Vikas,Consumer,India,Gujarat,Surat,West,Furniture,Table,Table,1728.98,7,10,7.95,2,0.46,Cash,Same Day
ORD00004,2024-07-03,2024-07-04,2024,July,Q3,CUST7202,Neha,Home Office,India,Delhi,New Delhi,North,Technology,Keyboard,Keyboard,769.22,1,15,194.74,1,25.32,Credit Card,First Class
ORD00005,2023-10-24,2023-10-25,2023,October,Q4,CUST4815,Priya,Corporate,India,Gujarat,Ahmedabad,West,Office Supplies,Notebook,Notebook,6090.93,1,5,1204.94,1,19.78,Credit Card,Same Day
ORD00006,2024-11-17,2024-11-20,2024,November,Q4,CUST2170,Simran,Home Office,India,Madhya Pradesh,Bhopal,Central,Furniture,Sofa,Sofa,401.73,6,5,116.29,3,28.95,UPI,Second Class
ORD00007,2024-12-02,2024-12-05,2024,December,Q4,CUST1917,Pooja,Consumer,India,Maharashtra,Pune,West,Technology,Keyboard,Keyboard,8357.94,9,5,203.25,3,2.43,Credit Card,Same Day
ORD00008,2024-02-10,2024-02-16,2024,February,Q1,CUST8518,Ankit,Corporate,India,Karnataka,Bengaluru,South,Furniture,Sofa,Sofa,1981.88,4,15,28.13,6,1.42,UPI,Second Class
ORD00009,2024-01-06,2024-01-08,2024,January,Q1,CUST3267,Deepak,Corporate,India,Madhya Pradesh,Bhopal,Central,Office Supplies,Marker,Marker,3181.57,10,15,425.26,2,13.37,Cash,Standard Class
ORD00010,2023-03-07,2023-03-11,2023,March,Q1,CUST7253,Simran,Corporate,India,Delhi,New Delhi,North,Office Supplies,Pen,Pen,4433.06,7,20,230.21,4,5.19,Net Banking,First Class
ORD00011,2024-10-18,2024-10-21,2024,October,Q4,CUST2828,Anjali,Corporate,India,Gujarat,Ahmedabad,West,Office Supplies,Notebook,Notebook,6196.16,9,10,-7.29,3,-0.12,UPI,Same Day
ORD00012,2024-10-02,2024-10-05,2024,October,Q4,CUST9318,Simran,Consumer,India,Delhi,New Delhi,North,Office Supplies,Pen,Pen,3063.02,9,0,239.61,3,7.82,UPI,First Class
ORD00013,2024-05-15,2024-05-16,2024,May,Q2,CUST2833,Nisha,Corporate,India,Maharashtra,Nagpur,West,Office Supplies,Notebook,Notebook,4669.49,10,10,1049.76,1,22.48,UPI,Standard Class
ORD00014,2024-06-29,2024-07-06,2024,June,Q2,CUST3061,Ankit,Home Office,India,Maharashtra,Nagpur,West,Furniture,Chair,Chair,2156.8,8,0,280.35,7,13.0,Debit Card,Second Class
